"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Dotel, Octavio","RP","AL","CHA","34","$0.94","","","50","","","","","2","4","4.18","1.35",
"Callaspo, Alberto","2B","AL","KCA","25","$0.94","314","284","","3","29","3","0.272","","","","",
"Devine, Joey","RP","AL","OAK","24","$0.84","","","65","","","","","3","3","3.90","1.46",
"Hinske, Eric","1B,LF","AL","TBA","30","$0.82","279","243","","8","32","4","0.239","","","","",
"Bale, John","RP","AL","KCA","34","$0.78","","","55","","","","","2","3","3.94","1.38",
"Murphy, Donald","SS","AL","OAK","25","$0.70","275","250","","7","32","4","0.241","","","","",
"Willits, Reggie","LF,CF,RF","AL","LAA","27","$0.63","204","176","","1","15","8","0.269","","","","",
"Logan, Boone","RP","AL","CHA","23","$0.56","","","50","","","","","2","2","3.84","1.35",
"Rodney, Fernando","RP","AL","DET","31","$0.53","","","40","","","","","2","2","3.68","1.31",
"Suzuki, Kurt","C","AL","OAK","24","$0.49","401","356","","6","42","2","0.243","","","","",
"Denorfia, Chris","CF","AL","OAK","27","$0.41","254","227","","4","26","4","0.262","","","","",
"Rincon, Juan","RP","AL","MIN","29","$0.29","","","55","","","","","2","2","3.92","1.39",
"Littleton, Wes","RP","AL","TEX","25","$0.20","","","55","","","","","2","2","4.03","1.38",
"Fultz, Aaron","RP","AL","CLE","34","$0.19","","","50","","","","","2","2","3.92","1.38",
"Thornton, Matt","RP","AL","CHA","31","$0.14","","","60","","","","","2","3","4.19","1.42",
"Seay, Bobby","RP","AL","DET","30","$0.13","","","55","","","","","2","2","3.99","1.39",
"Lewis, Jensen","RP","AL","CLE","24","$0.13","","","50","","","","","2","2","3.99","1.37",
"Morrow, Brandon","RP","AL","SEA","23","$0.09","","","55","","","","","2","2","3.76","1.43",
"Monroe, Craig","LF","AL","MIN","31","$0.07","274","249","","8","36","1","0.245","","","","",
"O'Flaherty, Eric","RP","AL","SEA","23","$0.05","","","45","","","","","1","2","3.78","1.33",
"Johnson, Daniel","1B","AL","OAK","28","$0.01","280","238","","8","35","0","0.254","","","","",
"Sweeney, Ryan","LF","AL","OAK","23","$0.00","242","217","","4","26","3","0.263","","","","",
"Bonser, Boof","SP","AL","MIN","26","$0.00","","","150","","","","","7","0","4.83","1.45",
"Costa, Shane","RF","AL","KCA","26","$-0.02","214","194","","3","24","3","0.276","","","","",
"Bulger, Jason","RP","AL","LAA","29","$-0.02","","","50","","","","","2","3","3.93","1.45",
"Miller, Trever","RP","AL","TBA","35","$-0.07","","","45","","","","","2","2","4.07","1.37",
"Schilling, Curt","SP","AL","BOS","41","$-0.09","","","50","","","","","3","0","4.33","1.31",
"Rowland-Smith, Ryan","RP","AL","SEA","25","$-0.15","","","50","","","","","2","2","4.13","1.39",
"Marcum, Shaun","SP","AL","TOR","26","$-0.21","","","145","","","","","7","0","4.94","1.44",
"Span, Keiunta","CF","AL","MIN","24","$-0.22","190","172","","0","13","7","0.269","","","","",
"Crain, Jesse","RP","AL","MIN","26","$-0.23","","","45","","","","","1","1","3.79","1.32",
"Zaun, Gregg","C","AL","TOR","37","$-0.25","308","266","","7","35","0","0.252","","","","",
"Bloomquist, Willie","2B,3B,SS","AL","SEA","30","$-0.26","200","180","","1","15","7","0.256","","","","",
"Pridie, Jason","CF","AL","MIN","24","$-0.27","190","175","","3","19","5","0.259","","","","",
"Wasserman, Ehren","RP","AL","CHA","27","$-0.31","","","55","","","","","2","2","4.11","1.43",
"Zumaya, Joel","RP","AL","DET","23","$-0.39","","","30","","","","","1","1","3.45","1.26",
"Hannahan, Jack","3B","AL","OAK","28","$-0.39","253","217","","6","28","2","0.250","","","","",
"Balentien, Wladimir","DH","AL","SEA","23","$-0.40","209","187","","6","25","4","0.235","","","","",
"Wakefield, Tim","SP","AL","BOS","41","$-0.41","","","140","","","","","8","0","4.99","1.46",
"Glover, Gary","RP","AL","TBA","31","$-0.42","","","45","","","","","2","1","4.12","1.36",
"Lind, Adam","LF","AL","TOR","24","$-0.45","203","184","","6","26","1","0.266","","","","",
"Hoey, James","RP","AL","BAL","25","$-0.46","","","60","","","","","2","3","4.44","1.44",
"Francisco, Frank","RP","AL","TEX","28","$-0.48","","","65","","","","","2","2","4.22","1.44",
"Salas, Juan","RP","AL","TBA","29","$-0.48","","","50","","","","","2","1","4.15","1.38",
"Timlin, Mike","RP","AL","BOS","42","$-0.50","","","55","","","","","2","1","4.36","1.36",
"Punto, Nick","2B,3B,SS","AL","MIN","30","$-0.56","284","252","","1","20","7","0.238","","","","",
"Fukumori, Kazuo","RP","AL","TEX","31","$-0.65","","","50","","","","","2","8","4.89","1.62",
"MacDougal, Mike","RP","AL","CHA","31","$-0.66","","","50","","","","","2","2","4.04","1.46",
"Britton, Chris","RP","AL","NYA","25","$-0.67","","","50","","","","","2","1","4.28","1.38",
"Calero, Kiko","RP","AL","OAK","33","$-0.68","","","50","","","","","2","2","4.23","1.44",
"Hernandez, Luis","SS","AL","BAL","24","$-0.69","370","345","","1","26","6","0.236","","","","",
"Rogers, Kenny","SP","AL","DET","43","$-0.77","","","90","","","","","5","0","4.67","1.46",
